DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
10708.0,26.859705,76.719997,R,RAJASTHAN,Karauli
10709.0,26.724897,76.951458,R,RAJASTHAN,Karauli
10710.0,26.735217,76.802902,R,RAJASTHAN,Karauli
10711.0,26.252652,77.091928,R,RAJASTHAN,Karauli
10712.0,26.727564,77.119008,R,RAJASTHAN,Karauli
10713.0,26.487509,76.907517,R,RAJASTHAN,Karauli
10714.0,26.671063,76.566291,R,RAJASTHAN,Karauli
10715.0,26.356654,76.708112,R,RAJASTHAN,Karauli
10716.0,26.496693,77.021631,U,RAJASTHAN,Karauli
10717.0,26.307563,77.250903,R,RAJASTHAN,Karauli
10718.0,26.612444,76.799786,R,RAJASTHAN,Karauli
10719.0,26.701948,76.67985,R,RAJASTHAN,Karauli
10720.0,26.351687,76.797237,R,RAJASTHAN,Karauli
10721.0,26.739493,77.029089,U,RAJASTHAN,Karauli
10722.0,26.263781,76.839121,R,RAJASTHAN,Karauli
10723.0,26.593009,77.007508,R,RAJASTHAN,Karauli
10724.0,26.816537,76.885674,R,RAJASTHAN,Karauli
10725.0,26.454953,76.941409,R,RAJASTHAN,Karauli
10726.0,26.737013,77.047791,U,RAJASTHAN,Karauli
10727.0,26.872092,76.946136,R,RAJASTHAN,Karauli
10728.0,26.681744,77.039881,R,RAJASTHAN,Karauli
10729.0,26.598828,76.991274,R,RAJASTHAN,Karauli
10730.0,26.347932,76.725002,R,RAJASTHAN,Karauli
10731.0,26.723238,77.04196,R,RAJASTHAN,Karauli
10732.0,26.646295,77.332421,R,RAJASTHAN,Karauli
10733.0,26.635163,76.7686,R,RAJASTHAN,Karauli
10734.0,26.551515,77.186507,R,RAJASTHAN,Karauli
10735.0,26.766601,77.071537,R,RAJASTHAN,Karauli
10736.0,26.489181,77.032848,U,RAJASTHAN,Karauli
10737.0,26.669417,76.799081,R,RAJASTHAN,Karauli
10738.0,26.729993,77.021936,U,RAJASTHAN,Karauli
10739.0,26.275717,76.742924,R,RAJASTHAN,Karauli
10740.0,26.300327,77.230447,R,RAJASTHAN,Karauli
10741.0,26.806005,76.899327,R,RAJASTHAN,Karauli
10742.0,26.456416,77.005537,R,RAJASTHAN,Karauli
10743.0,26.497201,76.900917,R,RAJASTHAN,Karauli
10744.0,26.37531,76.716229,R,RAJASTHAN,Karauli
10745.0,26.358431,76.769061,R,RAJASTHAN,Karauli
10801.0,26.284652,76.157807,U,RAJASTHAN,Sawai Madhopur
10802.0,26.131862,76.217516,R,RAJASTHAN,Sawai Madhopur
10803.0,26.363577,76.638034,R,RAJASTHAN,Sawai Madhopur
10804.0,26.028693,76.352374,U,RAJASTHAN,Sawai Madhopur
10805.0,25.87517,76.489631,R,RAJASTHAN,Sawai Madhopur
10806.0,26.239617,76.546241,R,RAJASTHAN,Sawai Madhopur
10807.0,26.319465,76.211412,R,RAJASTHAN,Sawai Madhopur
10808.0,26.467982,76.198874,R,RAJASTHAN,Sawai Madhopur
10809.0,26.122017,76.5177,R,RAJASTHAN,Sawai Madhopur
10810.0,26.065518,76.710942,R,RAJASTHAN,Sawai Madhopur
10811.0,26.178515,76.012497,R,RAJASTHAN,Sawai Madhopur
10812.0,26.221884,76.291293,R,RAJASTHAN,Sawai Madhopur
10813.0,26.019185,76.339061,R,RAJASTHAN,Sawai Madhopur
10814.0,26.033922,76.637267,R,RAJASTHAN,Sawai Madhopur
